################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.5467449007950691E+00 a       156     0    11     1     6
  7.2139845941531702E+00 a       157     0    11     1     7
 -5.6032056330680993E+00 a       158     0    11     1     8
 -1.8214947859756723E+01 a       159     0    11     1     9
  3.3082660294517358E-01 a       160     0    11     1    10
 -7.1946461358673730E+00 a       161     0    11     1    11
  9.0830380689565278E+00 a       162     0    11     1    12
 -1.5452046242410617E+01 a       163     0    11     1    13
 -5.7024390656350015E+00 a       164     0    11     1    14
 -4.8408344999566291E+00 a       165     0    11     1    15
 -7.9623886966118962E-01 a       166     0    12     1     1
  7.4583360313918945E+00 a       167     0    12     1     2
  4.7346691695555112E+00 a       168     0    12     1     3
  4.0514040821802295E+00 a       169     0    12     1     4
  4.4457912429316460E-01 a       170     0    12     1     5
 -6.7289240529444374E+00 a       171     0    12     1     6
 -2.6935814306654078E+00 a       172     0    12     1     7
  1.2582704088470416E+01 a       173     0    12     1     8
 -9.4196865340424818E+00 a       174     0    12     1     9
 -4.0578277293237539E+00 a       175     0    12     1    10
  1.2594450930256674E+01 a       176     0    12     1    11
  5.9570612573774611E+00 a       177     0    12     1    12
 -1.3430036283948530E+01 a       178     0    12     1    13
 -3.4602988612665255E+00 a       179     0    12     1    14
  4.7470565841424067E-01 a       180     0    12     1    15
 -5.3031240256786241E+00 a       181     0    13     1     1
 -4.8939381144982228E+00 a       182     0    13     1     2
  1.0968057362796751E+01 a       183     0    13     1     3
  2.7848471122011600E+00 a       184     0    13     1     4
 -2.9736278003243619E+00 a       185     0    13     1     5
  3.8515421642836403E+00 a       186     0    13     1     6
  9.7104495323557083E-01 a       187     0    13     1     7
 -2.8602611108290614E+00 a       188     0    13     1     8
 -1.7354375273363466E+01 a       189     0    13     1     9
 -1.2239833839991602E+01 a       190     0    13     1    10
 -7.5982867524632720E+00 a       191     0    13     1    11
  5.2803833109416596E+00 a       192     0    13     1    12
 -3.3656739826803288E+00 a       193     0    13     1    13
  5.6497335697357176E+00 a       194     0    13     1    14
 -3.3480873667824587E+00 a       195     0    13     1    15
 -2.4675520574853813E+00 a       196     0    14     1     1
  6.8181810157748783E+00 a       197     0    14     1     2
  1.0902933912238915E+01 a       198     0    14     1     3
  4.8712756786742375E+00 a       199     0    14     1     4
 -2.2506095781552951E+00 a       200     0    14     1     5
  3.7861854384803815E+00 a       201     0    14     1     6
  5.0341442064062409E+00 a       202     0    14     1     7
  5.5657397919801110E-01 a       203     0    14     1     8
 -1.4413304731463199E+01 a       204     0    14     1     9
 -4.1967148926200082E+00 a       205     0    14     1    10
 -1.4601847743246347E+01 a       206     0    14     1    11
  8.4404747072288373E+00 a       207     0    14     1    12
 -3.8549680861330131E+00 a       208     0    14     1    13
 -4.1339301922123983E-01 a       209     0    14     1    14
  3.5502157189817335E-01 a       210     0    14     1    15
  1.0456500209315351E+00 a       211     0    15     1     1
  9.9761634232930128E+00 a       212     0    15     1     2
  2.1039826299975628E+00 a       213     0    15     1     3
  6.0938322403323699E+00 a       214     0    15     1     4
 -1.7179204488742605E+00 a       215     0    15     1     5
 -3.0623550962718391E+00 a       216     0    15     1     6
 -1.4955348233130170E+00 a       217     0    15     1     7
  3.0570329777357865E+00 a       218     0    15     1     8
 -1.0837410710655726E+01 a       219     0    15     1     9
 -5.4377207662790443E+00 a       220     0    15     1    10
  2.0877444921049629E-01 a       221     0    15     1    11
  5.7097858850073466E+00 a       222     0    15     1    12
 -5.4321246133719034E+00 a       223     0    15     1    13
 -1.6098532324247168E+00 a       224     0    15     1    14
  2.8189589661796384E+00 a       225     0    15     1    15
 -1.1048873794262402E+00 a       226     0    16     1     1
  8.3470731697500007E+00 a       227     0    16     1     2
 -5.5173228690942597E+00 a       228     0    16     1     3
 -9.9104306113245446E+00 a       229     0    16     1     4
 -1.1444438374137077E+01 a       230     0    16     1     5
 -5.2920321335322527E+00 a       231     0    16     1     6
 -2.4648659666291506E+00 a       232     0    16     1     7
 -2.1948402908795256E+01 a       233     0    16     1     8
  1.9898768020469916E+01 a       234     0    16     1     9
 -4.2655992942218672E+00 a       235     0    16     1    10
  3.2035303664946248E+01 a       236     0    16     1    11
  2.4299051913933978E+00 a       237     0    16     1    12
  9.0976874689271146E+00 a       238     0    16     1    13
  2.0484287652870744E+01 a       239     0    16     1    14
  1.5132553672399141E+00 a       240     0    16     1    15
 -5.4008703113265399E+00 a       241     0    17     1     1
  4.4401087744534511E+00 a       242     0    17     1     2
 -1.9164173333352512E+01 a       243     0    17     1     3
 -1.0154563387324364E+01 a       244     0    17     1     4
 -6.2146913220971340E+00 a       245     0    17     1     5
 -4.1750429598970191E+00 a       246     0    17     1     6
 -5.7466093652538675E+00 a       247     0    17     1     7
  5.1349571080603162E+00 a       248     0    17     1     8
  1.2886588571471949E+01 a       249     0    17     1     9
 -8.4942770442400501E+00 a       250     0    17     1    10
  1.1564829334751356E+00 a       251     0    17     1    11
 -1.3450460924791188E+00 a       252     0    17     1    12
  2.2871248978725095E+01 a       253     0    17     1    13
  1.2296334615631308E+01 a       254     0    17     1    14
  4.8604191056885586E+00 a       255     0    17     1    15
  1.9831850859708320E+00 a       256     0    18     1     1
  3.4779018842130482E+00 a       257     0    18     1     2
 -9.0245501396891221E+00 a       258     0    18     1     3
  2.2707367196989368E+00 a       259     0    18     1     4
  4.8246281150759627E+00 a       260     0    18     1     5
  7.1642881298076713E+00 a       261     0    18     1     6
  2.6704924752477788E+00 a       262     0    18     1     7
 -2.0573251066512199E+01 a       263     0    18     1     8
  2.4029063527789516E+00 a       264     0    18     1     9
 -3.0527773163987537E+00 a       265     0    18     1    10
 -1.7226927967209143E+01 a       266     0    18     1    11
 -8.2643798799850912E-02 a       267     0    18     1    12
  1.3565936166899293E+01 a       268     0    18     1    13
  5.9215128840205153E+00 a       269     0    18     1    14
  2.3301370543171673E+00 a       270     0    18     1    15
 -2.2162507525704904E+00 a       271     0    19     1     1
  6.5052961848552089E+00 a       272     0    19     1     2
  8.0689306767981073E+00 a       273     0    19     1     3
  8.5688820389669669E+00 a       274     0    19     1     4
  8.4263974124782219E+00 a       275     0    19     1     5
 -1.3522388616052233E+01 a       276     0    19     1     6
  1.3268255167416561E+01 a       277     0    19     1     7
  1.6755444500733461E+01 a       278     0    19     1     8
  1.3719285426717976E+01 a       279     0    19     1     9
  2.4756448056232131E+01 a       280     0    19     1    10
 -1.2893668770244627E+01 a       281     0    19     1    11
 -1.0695032035225269E+01 a       282     0    19     1    12
 -6.6775631266797300E+00 a       283     0    19     1    13
 -9.7628080124875467E+00 a       284     0    19     1    14
 -8.7205697935256865E-01 a       285     0    19     1    15
 -3.5931271451846012E+00 a       286     0    20     1     1
 -7.8740054792139382E+00 a       287     0    20     1     2
  1.5795520004247441E+01 a       288     0    20     1     3
  3.1110838793748044E+00 a       289     0    20     1     4
  7.1128098855870725E+00 a       290     0    20     1     5
 -6.4569464317660286E+00 a       291     0    20     1     6
 -7.9311583568179955E+00 a       292     0    20     1     7
 -4.0586534959541138E+00 a       293     0    20     1     8
  8.8222614574316793E+00 a       294     0    20     1     9
  9.9052559290388071E+00 a       295     0    20     1    10
  1.3927710555518248E+01 a       296     0    20     1    11
 -1.1017733356171787E+01 a       297     0    20     1    12
 -1.1146168675403491E+01 a       298     0    20     1    13
  3.6411537234651434E+00 a       299     0    20     1    14
 -4.3072326191848411E+00 a       300     0    20     1    15
 -1.0573076603148833E+01 a       301     0    21     1     1
 -1.1243864630340704E+01 a       302     0    21     1     2
  1.6114765653650583E+01 a       303     0    21     1     3
 -5.1432481217798927E+00 a       304     0    21     1     4
  3.5783889314101849E+00 a       305     0    21     1     5
  3.7096452792862644E-01 a       306     0    21     1     6
  4.3157713604579273E+00 a       307     0    21     1     7
  8.0986748183312685E+00 a       308     0    21     1     8
  1.5336344219947414E+01 a       309     0    21     1     9
  1.1275531661664804E+01 a       310     0    21     1    10
  1.2106654114783511E+01 a       311     0    21     1    11
 -1.0863105220991473E+01 a       312     0    21     1    12
 -2.9288193634925563E+00 a       313     0    21     1    13
  1.0805670943507616E+01 a       314     0    21     1    14
