################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         28   0.0000000000000000E+00   4.6218985888894748E+00   2.9861755525295791E-01   2.8872239537315431E-01
         1         29   0.0000000000000000E+00   3.0303888237302732E+00   5.0244253097653913E-01   2.7897637314509455E-01
         1         30   0.0000000000000000E+00   2.9698935656026233E+00   4.8083929181611890E-01   2.7496166295186975E-01
         1         31   0.0000000000000000E+00   4.9797176100680360E+00   2.5355706114217980E-01   2.1752642747819806E-01
         1         32   0.0000000000000000E+00   2.4405436102275861E+00   4.4700497478872031E-01   2.5737562795824903E-01
         1         33   0.0000000000000000E+00   4.7608148089560434E+00   2.2278967856378118E-01   1.9788383362972073E-01
         1         34   0.0000000000000000E+00   4.2951298450870228E+00   2.7436499582619966E-01   2.6543057862472857E-01
         1         35   0.0000000000000000E+00   2.8022392237134173E+00   4.6794219377803387E-01   2.4718994187119944E-01
         1         36   0.0000000000000000E+00   2.6355041637567327E+00   4.4234791213837910E-01   2.4027388878626460E-01
         1         37   0.0000000000000000E+00   4.6150184025739094E+00   2.3436022888379829E-01   1.9164836703378732E-01
         1         38   0.0000000000000000E+00   2.3489295296900634E+00   4.1433603598689089E-01   2.3021941394784762E-01
         1         39   0.0000000000000000E+00   4.4073679900175540E+00   2.0544887978402257E-01   1.7651842182448019E-01
         1         40   0.0000000000000000E+00   1.3233159904752820E+00   8.6665272320385137E-02   8.5081917982720620E-02
         1         41   0.0000000000000000E+00   1.0657102082913914E+00   1.4012583928256092E-01   8.4731819946720480E-02
         1         42   0.0000000000000000E+00   1.0421582574798924E+00   1.3549272170982724E-01   8.4553952511318364E-02
         1         43   0.0000000000000000E+00   1.4346451059192855E+00   7.2695756194171832E-02   6.6397128343610820E-02
         1         44   0.0000000000000000E+00   9.5371041935795353E-01   1.2700837660254957E-01   7.9170094728993362E-02
         1         45   0.0000000000000000E+00   1.3631563746879736E+00   6.3641189196485565E-02   6.0576035036051974E-02
         1         46   0.0000000000000000E+00   9.9654724666639427E-01   6.0017569188043560E-02   5.8637866970076766E-02
         1         47   0.0000000000000000E+00   7.3342989335517372E-01   1.0433927410344607E-01   5.5013566062412339E-02
         1         48   0.0000000000000000E+00   6.7159986852650422E-01   9.6303644311084069E-02   5.1767305798226200E-02
         1         49   0.0000000000000000E+00   1.0699458984275496E+00   5.1542178635714496E-02   4.0899266970873191E-02
         1         50   0.0000000000000000E+00   5.8062389366047917E-01   9.1450564532732467E-02   4.9994575074124872E-02
         1         51   0.0000000000000000E+00   1.0097095557541487E+00   4.5425095619560749E-02   3.8528935332039077E-02
         1         52   0.0000000000000000E+00   3.0285008206845356E+00   1.9260403508817012E-01   1.9101145108132386E-01
         1         53   0.0000000000000000E+00   1.9985156667779425E+00   3.2505307494742280E-01   1.8514880094993658E-01
         1         54   0.0000000000000000E+00   1.9541753305245777E+00   3.1067879724949615E-01   1.8244708232055695E-01
         1         55   0.0000000000000000E+00   3.3336527571737125E+00   1.6479064212618547E-01   1.4620612223603713E-01
         1         56   0.0000000000000000E+00   1.6600480955336423E+00   2.8985417705445488E-01   1.7148504454943048E-01
         1         57   0.0000000000000000E+00   3.1960747175125634E+00   1.4334428056779053E-01   1.3172741898306112E-01
         1         58   0.0000000000000000E+00   2.7855069589246289E+00   1.7516648442746749E-01   1.7371697038018907E-01
         1         59   0.0000000000000000E+00   1.8469328152760389E+00   2.9936143011030525E-01   1.6268859279833864E-01
         1         60   0.0000000000000000E+00   1.7256341616307993E+00   2.8189843739564346E-01   1.5770831465606497E-01
         1         61   0.0000000000000000E+00   3.0564841234527123E+00   1.5066897750036376E-01   1.2731497610149392E-01
         1         62   0.0000000000000000E+00   1.5731356595438279E+00   2.6534309613084056E-01   1.5180699006473392E-01
         1         63   0.0000000000000000E+00   2.9296860039261423E+00   1.3092205886135047E-01   1.1623665667975427E-01
         1         64   0.0000000000000000E+00   8.6766556496821790E-01   5.5952388115746751E-02   5.6637857931429440E-02
         1         65   0.0000000000000000E+00   7.0347141257311263E-01   9.0546448138386817E-02   5.6644256224643655E-02
         1         66   0.0000000000000000E+00   6.8639090019647175E-01   8.7777529544368682E-02   5.6586122607232281E-02
         1         67   0.0000000000000000E+00   9.6071051374190575E-01   4.7242439814199177E-02   4.4947186507658353E-02
         1         68   0.0000000000000000E+00   6.3561331805117394E-01   8.2531692176979213E-02   5.3217292768870335E-02
         1         69   0.0000000000000000E+00   9.1544403649253625E-01   4.0848178515755632E-02   4.0606253357145072E-02
         1         70   0.0000000000000000E+00   6.2467170320232912E-01   3.6862710280095669E-02   3.6897262847729075E-02
         1         71   0.0000000000000000E+00   4.6738278908667047E-01   6.4180628138940182E-02   3.4838628794562787E-02
         1         72   0.0000000000000000E+00   4.2539773228284083E-01   5.8973200681697292E-02   3.2632341756034217E-02
